ref_file,from_file,repo_name,from_file_dir
cli/endpoints/batch/deploy-models/heart-classifier-mlflow/heart-dataset-unlabeled.yml,how-to-mlflow-batch.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-models/huggingface-text-summarization/code/batch_driver.py,how-to-nlp-processing-batch.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-models/huggingface-text-summarization/deploy-and-run.sh,how-to-nlp-processing-batch.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-models/huggingface-text-summarization/deployment.yml,how-to-nlp-processing-batch.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-models/huggingface-text-summarization/endpoint.yml,how-to-nlp-processing-batch.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-models/huggingface-text-summarization/environment/torch200-conda.yaml,how-to-nlp-processing-batch.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-models/imagenet-classifier/code/score-by-batch/batch_driver.py,how-to-image-processing-batch.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-models/imagenet-classifier/code/score-by-file/batch_driver.py,how-to-image-processing-batch.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-models/imagenet-classifier/deploy-and-run.sh,how-to-image-processing-batch.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-models/imagenet-classifier/deployment-by-batch.yml,how-to-image-processing-batch.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-models/imagenet-classifier/deployment-by-file.yml,how-to-image-processing-batch.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-models/imagenet-classifier/endpoint.yml,how-to-image-processing-batch.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-models/imagenet-classifier/imagenet-sample-unlabeled.yml,how-to-image-processing-batch.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-models/mnist-classifier/deploy-and-run.sh,how-to-use-batch-model-deployments.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-models/mnist-classifier/deployment-keras/code/batch_driver.py,how-to-use-batch-model-deployments.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-models/mnist-classifier/deployment-keras/deployment.yml,how-to-use-batch-model-deployments.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-models/mnist-classifier/deployment-keras/environment/conda.yaml,how-to-use-batch-model-deployments.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-models/mnist-classifier/deployment-torch/code/batch_driver.py,how-to-use-batch-model-deployments.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-models/mnist-classifier/deployment-torch/deployment.yml,how-to-batch-scoring-script.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-models/mnist-classifier/deployment-torch/deployment.yml,how-to-use-batch-model-deployments.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-models/mnist-classifier/deployment-torch/deployment.yml,reference-yaml-deployment-batch.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-models/mnist-classifier/deployment-torch/environment/conda.yaml,how-to-batch-scoring-script.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-models/mnist-classifier/deployment-torch/environment/conda.yaml,how-to-use-batch-model-deployments.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-models/mnist-classifier/endpoint.yml,how-to-use-batch-model-deployments.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-models/mnist-classifier/endpoint.yml,reference-yaml-endpoint-batch.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-models/openai-embeddings/code/batch_driver.py,how-to-use-batch-model-openai-embeddings.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-models/openai-embeddings/deploy-and-run.sh,how-to-use-batch-model-openai-embeddings.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-models/openai-embeddings/deployment.yml,how-to-use-batch-model-openai-embeddings.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-models/openai-embeddings/endpoint.yml,how-to-use-batch-model-openai-embeddings.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-models/openai-embeddings/environment/conda.yaml,how-to-use-batch-model-openai-embeddings.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-models/openai-embeddings/environment/environment.yml,how-to-use-batch-model-openai-embeddings.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-pipelines/batch-scoring-with-preprocessing/deploy-and-run.sh,how-to-use-batch-scoring-pipeline.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-pipelines/batch-scoring-with-preprocessing/deployment.yml,how-to-use-batch-scoring-pipeline.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-pipelines/batch-scoring-with-preprocessing/endpoint.yml,how-to-use-batch-scoring-pipeline.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-pipelines/batch-scoring-with-preprocessing/environment/conda.yml,how-to-use-batch-scoring-pipeline.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-pipelines/batch-scoring-with-preprocessing/environment/xgboost-sklearn-py38.yml,how-to-use-batch-scoring-pipeline.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-pipelines/batch-scoring-with-preprocessing/inputs.yml,how-to-use-batch-scoring-pipeline.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-pipelines/batch-scoring-with-preprocessing/pipeline-job.yml,how-to-use-batch-scoring-pipeline.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-pipelines/batch-scoring-with-preprocessing/pipeline.yml,how-to-use-batch-scoring-pipeline.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-pipelines/hello-batch/deploy-and-run.sh,how-to-use-batch-pipeline-deployments.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-pipelines/hello-batch/deploy-and-run.sh,how-to-use-batch-pipeline-from-job.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-pipelines/hello-batch/deployment-from-job.yml,how-to-use-batch-pipeline-from-job.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-pipelines/hello-batch/deployment.yml,how-to-use-batch-pipeline-deployments.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-pipelines/hello-batch/deployment.yml,reference-yaml-deployment-batch.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-pipelines/hello-batch/endpoint.yml,how-to-use-batch-pipeline-deployments.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-pipelines/hello-batch/endpoint.yml,how-to-use-batch-pipeline-from-job.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-pipelines/hello-batch/hello-component/hello.yml,how-to-use-batch-pipeline-deployments.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-pipelines/hello-batch/pipeline-job.yml,how-to-use-batch-pipeline-from-job.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-pipelines/training-with-components/deploy-and-run.sh,how-to-use-batch-training-pipeline.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-pipelines/training-with-components/deployment-onehot/deployment.yml,how-to-use-batch-training-pipeline.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-pipelines/training-with-components/deployment-onehot/pipeline.yml,how-to-use-batch-training-pipeline.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-pipelines/training-with-components/deployment-ordinal/deployment.yml,how-to-use-batch-training-pipeline.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-pipelines/training-with-components/deployment-ordinal/pipeline-job.yml,how-to-use-batch-training-pipeline.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-pipelines/training-with-components/deployment-ordinal/pipeline.yml,how-to-use-batch-training-pipeline.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-pipelines/training-with-components/endpoint.yml,how-to-use-batch-training-pipeline.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-pipelines/training-with-components/environment/conda.yml,how-to-use-batch-training-pipeline.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-pipelines/training-with-components/environment/xgboost-sklearn-py38.yml,how-to-use-batch-training-pipeline.md,azureml-examples,machine-learning
cli/endpoints/batch/deploy-pipelines/training-with-components/inputs.yml,how-to-use-batch-training-pipeline.md,azureml-examples,machine-learning
cli/endpoints/online/custom-container/tfserving/half-plus-two/tfserving-endpoint.yml,how-to-deploy-custom-container.md,azureml-examples,machine-learning
cli/endpoints/online/managed/managed-identities/1-sai-create-endpoint.yml,how-to-access-resources-from-endpoints-managed-identities.md,azureml-examples,machine-learning
cli/endpoints/online/managed/managed-identities/1-sai-create-endpoint.yml,reference-yaml-endpoint-online.md,azureml-examples,machine-learning
cli/endpoints/online/managed/managed-identities/1-uai-create-endpoint.yml,how-to-access-resources-from-endpoints-managed-identities.md,azureml-examples,machine-learning
cli/endpoints/online/managed/managed-identities/1-uai-create-endpoint.yml,reference-yaml-endpoint-online.md,azureml-examples,machine-learning
cli/endpoints/online/managed/managed-identities/2-sai-deployment.yml,how-to-access-resources-from-endpoints-managed-identities.md,azureml-examples,machine-learning
cli/endpoints/online/managed/managed-identities/2-sai-deployment.yml,reference-yaml-deployment-managed-online.md,azureml-examples,machine-learning
cli/endpoints/online/managed/managed-identities/2-uai-deployment.yml,how-to-access-resources-from-endpoints-managed-identities.md,azureml-examples,machine-learning
cli/endpoints/online/managed/managed-identities/2-uai-deployment.yml,reference-yaml-deployment-managed-online.md,azureml-examples,machine-learning
cli/endpoints/online/managed/sample/blue-deployment-with-registered-assets.yml,how-to-deploy-online-endpoints.md,azureml-examples,machine-learning
cli/endpoints/online/managed/sample/blue-deployment.yml,how-to-deploy-automl-endpoint.md,azureml-examples,machine-learning
cli/endpoints/online/managed/sample/blue-deployment.yml,how-to-deploy-online-endpoints.md,azureml-examples,machine-learning
cli/endpoints/online/managed/sample/blue-deployment.yml,how-to-safely-rollout-online-endpoints.md,azureml-examples,machine-learning
cli/endpoints/online/managed/sample/blue-deployment.yml,reference-yaml-deployment-managed-online.md,azureml-examples,machine-learning
cli/endpoints/online/managed/sample/endpoint.yml,how-to-deploy-automl-endpoint.md,azureml-examples,machine-learning
cli/endpoints/online/managed/sample/endpoint.yml,how-to-deploy-online-endpoints.md,azureml-examples,machine-learning
